match_id,team_id,eligible_events,events_with_360_file,events_with_freeze_frame,events_with_visible_area,events_with_visible_actor,valid_context_events,freeze_frame_coverage_rate,visible_area_coverage_rate,actor_visible_rate,valid_context_rate
3857254,776,2146,1837,1837,1837,1837,1837,0.8560111835973905,0.8560111835973905,0.8560111835973905,0.8560111835973905
3857254,777,1534,1324,1324,1324,1324,1324,0.863102998696219,0.863102998696219,0.863102998696219,0.863102998696219
3857255,772,3382,3053,3053,3053,3053,3053,0.9027202838557067,0.9027202838557067,0.9027202838557067,0.9027202838557067
3857255,778,1068,915,915,915,915,915,0.8567415730337079,0.8567415730337079,0.8567415730337079,0.8567415730337079
3857256,773,1487,1208,1208,1208,1208,1208,0.812373907195696,0.812373907195696,0.812373907195696,0.812373907195696
3857256,786,1723,1428,1428,1428,1428,1428,0.828786999419617,0.828786999419617,0.828786999419617,0.828786999419617
3857257,776,2351,2003,2003,2003,2003,2003,0.8519778817524458,0.8519778817524458,0.8519778817524458,0.8519778817524458
3857257,792,1243,1066,1066,1066,1066,1066,0.8576025744167337,0.8576025744167337,0.8576025744167337,0.8576025744167337
3857258,781,2101,1776,1776,1776,1776,1776,0.8453117563065207,0.8453117563065207,0.8453117563065207,0.8453117563065207
3857258,786,1555,1303,1303,1303,1303,1303,0.8379421221864952,0.8379421221864952,0.8379421221864952,0.8379421221864952
3857259,786,1886,1702,1702,1702,1702,1702,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439
3857259,2722,1384,1187,1187,1187,1187,1187,0.8576589595375722,0.8576589595375722,0.8576589595375722,0.8576589595375722
3857260,794,1683,1390,1390,1390,1390,1390,0.8259061200237671,0.8259061200237671,0.8259061200237671,0.8259061200237671
3857260,799,1229,1014,1014,1014,1014,1014,0.8250610252237591,0.8250610252237591,0.8250610252237591,0.8250610252237591
3857261,768,2041,1823,1823,1823,1823,1823,0.8931896129348359,0.8931896129348359,0.8931896129348359,0.8931896129348359
3857261,907,1274,1096,1096,1096,1096,1096,0.8602825745682888,0.8602825745682888,0.8602825745682888,0.8602825745682888
3857262,780,2015,1754,1754,1754,1754,1754,0.8704714640198511,0.8704714640198511,0.8704714640198511,0.8704714640198511
3857262,791,1363,1151,1151,1151,1151,1151,0.8444607483492297,0.8444607483492297,0.8444607483492297,0.8444607483492297
3857263,770,1418,1303,1303,1303,1303,1303,0.9188998589562765,0.9188998589562765,0.9188998589562765,0.9188998589562765
3857263,772,2185,2000,2000,2000,2000,2000,0.9153318077803204,0.9153318077803204,0.9153318077803204,0.9153318077803204
3857264,779,2843,2587,2587,2587,2587,2587,0.9099542736545903,0.9099542736545903,0.9099542736545903,0.9099542736545903
3857264,789,1209,1014,1014,1014,1014,1014,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549
3857265,789,1362,1186,1186,1186,1186,1186,0.8707782672540382,0.8707782672540382,0.8707782672540382,0.8707782672540382
3857265,794,1822,1603,1603,1603,1603,1603,0.8798024149286499,0.8798024149286499,0.8798024149286499,0.8798024149286499
3857266,771,1916,1615,1615,1615,1615,1615,0.842901878914405,0.842901878914405,0.842901878914405,0.842901878914405
3857266,776,1937,1677,1677,1677,1677,1677,0.8657718120805369,0.8657718120805369,0.8657718120805369,0.8657718120805369
3857267,787,1204,1000,1000,1000,1000,1000,0.8305647840531561,0.8305647840531561,0.8305647840531561,0.8305647840531561
3857267,3565,1623,1373,1373,1373,1373,1373,0.8459642637091805,0.8459642637091805,0.8459642637091805,0.8459642637091805
3857268,782,1809,1565,1565,1565,1565,1565,0.865118850193477,0.865118850193477,0.865118850193477,0.865118850193477
3857268,1833,1690,1451,1451,1451,1451,1451,0.8585798816568048,0.8585798816568048,0.8585798816568048,0.8585798816568048
3857269,773,1740,1530,1530,1530,1530,1530,0.8793103448275862,0.8793103448275862,0.8793103448275862,0.8793103448275862
3857269,781,2046,1775,1775,1775,1775,1775,0.8675464320625611,0.8675464320625611,0.8675464320625611,0.8675464320625611
3857270,780,2040,1774,1774,1774,1774,1774,0.8696078431372549,0.8696078431372549,0.8696078431372549,0.8696078431372549
3857270,783,1401,1168,1168,1168,1168,1168,0.8336902212705211,0.8336902212705211,0.8336902212705211,0.8336902212705211
3857271,768,2619,2388,2388,2388,2388,2388,0.9117983963344788,0.9117983963344788,0.9117983963344788,0.9117983963344788
