team_name,events,three_sixty_linked,coverage_proportion
Argentina,15642,13358,0.8539828666410945
Australia,6004,5101,0.8496002664890073
Belgium,6128,5362,0.875
Brazil,10847,9316,0.858854982944593
Cameroon,4431,3858,0.8706838185511171
Canada,5505,4721,0.8575840145322434
Costa Rica,4067,3491,0.858372264568478
Croatia,15173,13233,0.8721413036314506
Denmark,6434,5517,0.857475909232204
Ecuador,5048,4442,0.8799524564183835
England,10456,9319,0.8912586074980873
France,13361,11470,0.8584686774941995
Germany,6436,5750,0.8934120571783717
Ghana,4721,4063,0.8606227494174963
Iran,4026,3484,0.8653750620963736
Japan,6365,5684,0.8930086410054988
Mexico,4970,4171,0.8392354124748491
Morocco,10682,9126,0.854334394308182
Netherlands,10019,8773,0.8756362910470107
Poland,5445,4672,0.8580348943985308
Portugal,10183,8841,0.8682117254247275
Qatar,4887,4311,0.8821362799263351
Saudi Arabia,4422,3772,0.8530076888285844
Senegal,6065,5148,0.8488046166529266
Serbia,5164,4433,0.8584430673896204
South Korea,6891,5977,0.8673632273980554
Spain,12322,11205,0.909349131634475
Switzerland,6791,5852,0.861728758651156
Tunisia,4788,4200,0.8771929824561403
United States,7657,6774,0.8846806843411258
Uruguay,4964,4325,0.871273166800967
Wales,4743,4133,0.8713894159814464
