match_id,team_id,opponent_id,classic_opponent_passes,classic_defensive_actions,ppda_classic,pressure_events_added,augmented_defensive_actions,ppda_pressure_augmented,classic_missing_reason,augmented_missing_reason,spatial_frame_version,ppda_definition_version
3857276,1833,788,147,21,7.0,96,117,1.2564102564102564,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857276,788,1833,143,22,6.5,69,91,1.5714285714285714,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857271,768,797,73,19,3.8421052631578947,68,87,0.8390804597701149,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857271,797,768,258,22,11.727272727272727,76,98,2.63265306122449,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857296,785,782,213,17,12.529411764705882,111,128,1.6640625,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857296,782,785,207,16,12.9375,70,86,2.4069767441860463,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857274,941,3565,135,24,5.625,88,112,1.2053571428571428,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857274,3565,941,177,25,7.08,107,132,1.3409090909090908,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857255,778,772,302,16,18.875,109,125,2.416,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857255,772,778,113,18,6.277777777777778,67,85,1.3294117647058823,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857272,768,1839,179,17,10.529411764705882,72,89,2.0112359550561796,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857272,1839,768,138,19,7.2631578947368425,93,112,1.2321428571428572,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857278,797,1839,161,24,6.708333333333333,70,94,1.7127659574468086,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857278,1839,797,197,12,16.416666666666668,78,90,2.188888888888889,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857277,788,785,240,32,7.5,111,143,1.6783216783216783,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857277,785,788,163,21,7.761904761904762,68,89,1.8314606741573034,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857273,907,797,121,17,7.117647058823529,62,79,1.5316455696202531,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857273,797,907,188,14,13.428571428571429,86,100,1.88,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857275,777,771,141,30,4.7,62,92,1.5326086956521738,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857275,771,777,67,21,3.1904761904761907,53,74,0.9054054054054054,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857261,907,768,196,22,8.909090909090908,81,103,1.9029126213592233,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857261,768,907,118,17,6.9411764705882355,55,72,1.6388888888888888,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857290,773,2722,209,17,12.294117647058824,86,103,2.029126213592233,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857290,2722,773,186,12,15.5,88,100,1.86,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857298,780,4885,170,25,6.8,89,114,1.4912280701754386,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857298,4885,780,261,20,13.05,67,87,3.0,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857285,787,941,102,15,6.8,51,66,1.5454545454545454,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857285,941,787,103,21,4.904761904761905,57,78,1.3205128205128205,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857282,1839,907,131,28,4.678571428571429,101,129,1.0155038759689923,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857282,907,1839,197,19,10.368421052631579,75,94,2.095744680851064,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857297,789,799,145,23,6.304347826086956,49,72,2.013888888888889,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857297,799,789,79,23,3.4347826086956523,66,89,0.8876404494382022,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857294,941,3566,164,27,6.074074074074074,91,118,1.3898305084745763,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857294,3566,941,184,14,13.142857142857142,39,53,3.4716981132075473,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857266,771,776,189,13,14.538461538461538,39,52,3.6346153846153846,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857266,776,771,187,16,11.6875,78,94,1.9893617021276595,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857284,770,778,89,14,6.357142857142857,66,80,1.1125,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857284,778,770,144,25,5.76,108,133,1.0827067669172932,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857254,776,777,165,25,6.6,77,102,1.6176470588235294,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857254,777,776,257,16,16.0625,54,70,3.6714285714285713,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857265,794,789,103,24,4.291666666666667,53,77,1.3376623376623376,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857265,789,794,168,20,8.4,70,90,1.8666666666666667,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857301,3566,787,157,15,10.466666666666667,70,85,1.8470588235294119,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857301,787,3566,134,12,11.166666666666666,93,105,1.276190476190476,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857268,782,1833,146,16,9.125,40,56,2.607142857142857,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857268,1833,782,163,23,7.086956521739131,75,98,1.663265306122449,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857269,781,773,138,27,5.111111111111111,73,100,1.38,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857269,773,781,112,16,7.0,60,76,1.4736842105263157,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869321,941,779,226,40,5.65,126,166,1.3614457831325302,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869321,779,941,233,19,12.263157894736842,106,125,1.864,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857292,795,770,234,5,46.8,34,39,6.0,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857292,770,795,158,21,7.523809523809524,115,136,1.161764705882353,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857295,778,795,175,30,5.833333333333333,115,145,1.206896551724138,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857295,795,778,198,15,13.2,57,72,2.75,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869685,779,771,152,37,4.108108108108108,86,123,1.2357723577235773,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869685,771,779,242,36,6.722222222222222,114,150,1.6133333333333333,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869684,785,788,152,19,8.0,71,90,1.6888888888888889,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869684,788,785,182,28,6.5,85,113,1.6106194690265487,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857256,786,773,128,25,5.12,68,93,1.3763440860215055,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857256,773,786,187,19,9.842105263157896,47,66,2.8333333333333335,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869151,779,792,139,22,6.318181818181818,88,110,1.2636363636363637,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869151,792,779,197,24,8.208333333333334,132,156,1.2628205128205128,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857257,792,776,225,11,20.454545454545453,69,80,2.8125,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857257,776,792,83,17,4.882352941176471,56,73,1.1369863013698631,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857258,781,786,183,22,8.318181818181818,67,89,2.056179775280899,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857258,786,781,205,23,8.91304347826087,70,93,2.204301075268817,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857288,777,792,102,22,4.636363636363637,58,80,1.275,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857288,792,777,154,33,4.666666666666667,72,105,1.4666666666666666,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857267,3565,787,70,27,2.5925925925925926,49,76,0.9210526315789473,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857267,787,3565,132,15,8.8,76,91,1.4505494505494505,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857287,783,791,120,17,7.0588235294117645,42,59,2.0338983050847457,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857287,791,783,183,20,9.15,63,83,2.2048192771084336,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869486,788,780,192,12,16.0,59,71,2.704225352112676,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3869486,780,788,70,21,3.3333333333333335,69,90,0.7777777777777778,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857260,799,794,118,19,6.2105263157894735,61,80,1.475,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857260,794,799,77,30,2.566666666666667,75,105,0.7333333333333333,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857264,789,779,255,13,19.615384615384617,41,54,4.722222222222222,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
3857264,779,789,89,19,4.684210526315789,62,81,1.0987654320987654,,,opponent_rotation_105x68_v1,ppda_classic_statsbomb_v1|ppda_pressure_augmented_statsbomb_v1
