score_state,outcome,observation_count,raw_numerator,raw_denominator,pooled_rate,effective_time_exposure,possession_exposure,team_count,match_count,unweighted_window_mean,unweighted_window_sd,mean,standard_deviation,median,q1,q3,minimum,maximum,reliable_observation_count,unreliable_observation_count,missing_observation_count,interpretation
drawing,shots_per_effective_10min,1450,746.0,383238.0,0.0019465710602810785,383238.0,11546.0,32,64,1.2246004650529108,2.034924087592333,1.2246004650529108,2.034924087592333,0.0,0.0,2.097902097902098,0.0,24.489795918367346,1442,8,0,descriptive association; not causal
drawing,xg_per_effective_10min,1450,71.0425448517,383238.0,0.00018537447970112567,383238.0,11546.0,32,64,0.12486635461190823,0.3705385723212376,0.12486635461190823,0.3705385723212376,0.0,0.0,0.09078753163462633,0.0,4.564077669902913,1442,8,0,descriptive association; not causal
drawing,xt_per_effective_10min,1450,139.31621179269683,383238.0,0.0003635240028199104,383238.0,11546.0,32,64,0.22262096339287135,0.24008090362825107,0.22262096339287135,0.24008090362825107,0.18258102480452854,0.06599036723378744,0.33015439350086095,-0.9918430124364733,2.9284559205505496,1442,8,0,descriptive association; not causal
drawing,progressive_passes_per_100_passes,1434,1060.0,36336.0,0.029172170849845882,383238.0,11546.0,32,64,3.21628587770668,5.532748699785908,3.21628587770668,5.532748699785908,0.0,0.0,5.096153846153846,0.0,100.0,1383,67,16,descriptive association; not causal
drawing,progressive_carries_per_100_possessions,1448,1137.0,11546.0,0.09847566256712281,383238.0,11546.0,32,64,10.458049628794884,13.640158904231303,10.458049628794884,13.640158904231303,8.333333333333332,0.0,16.666666666666664,0.0,133.33333333333331,1436,14,2,descriptive association; not causal
drawing,possession_share,1448,190314.0,380628.0,0.5,383238.0,11546.0,32,64,0.5,0.23062524692507483,0.5,0.23062524692507483,0.5,0.3354135903936701,0.66458640960633,0.0,1.0,1436,14,2,descriptive association; not causal
drawing,pass_completion_rate,1434,29854.0,36336.0,0.8216094231616028,383238.0,11546.0,32,64,0.7681788571472764,0.1610266764666943,0.7681788571472764,0.1610266764666943,0.8076923076923077,0.704248366013072,0.875,0.0,1.0,1383,67,16,descriptive association; not causal
drawing,forward_pass_share,1434,21079.0,36336.0,0.5801133861734918,383238.0,11546.0,32,64,0.614391453119654,0.1273335157265668,0.614391453119654,0.1273335157265668,0.5945945945945946,0.5333333333333333,0.6666666666666666,0.0,1.0,1383,67,16,descriptive association; not causal
drawing,long_pass_share,1434,4667.0,36336.0,0.12844011448701012,383238.0,11546.0,32,64,0.1596536378904482,0.12800185192901928,0.1596536378904482,0.12800185192901928,0.13574938574938575,0.08333333333333333,0.2,0.0,1.0,1383,67,16,descriptive association; not causal
drawing,pass_directness,1434,697.0902307146266,1434.0,0.486115921000437,383238.0,11546.0,32,64,0.486115921000437,0.15356080546792267,0.486115921000437,0.15356080546792267,0.4559362168619029,0.3750562693988581,0.5659889621261116,0.0,0.9998060225127384,1450,0,16,descriptive association; not causal
drawing,mean_pass_length,1434,27819.683369031256,1434.0,19.40005813739976,383238.0,11546.0,32,64,19.40005813739976,5.083086631348102,19.40005813739976,5.083086631348102,18.3342792626173,16.623192894855997,20.78079731567657,7.398992105078202,70.23482932277973,1450,0,16,descriptive association; not causal
drawing,ppda_classic,868,11346.0,1354.0,8.379615952732644,383238.0,11546.0,32,64,6.229589093701996,6.618910777242535,6.229589093701996,6.618910777242535,4.0,1.5,9.0,0.0,41.0,520,930,582,descriptive association; not causal
