model_id,outcome,model_family,formula,reference_category,dataset_unit,offset,weights,fixed_effects,cluster_variable,coefficient_name,coefficient,standard_error,confidence_interval_lower,confidence_interval_upper,p_value,incidence_rate_ratio,odds_ratio,adjusted_difference,sample_size,match_count,team_count,convergence_status,execution_status,warning_flags,unavailable_reason
primary_shots,shots,poisson,shots ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,effective_play_seconds,,team_id,match_id,score_state[leading],-0.08190124065469374,0.07744632801639861,-0.23369604356683504,0.06989356225744754,,0.9213629474047572,,,2780,64,32,converged,executed,,
primary_shots,shots,poisson,shots ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,effective_play_seconds,,team_id,match_id,score_state[trailing],0.020410493440028835,0.08525961541852503,-0.1466983527802802,0.1875193396603379,,1.020620211950552,,,2780,64,32,converged,executed,,
primary_pressure_events,pressure_events,poisson,pressure_events ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,effective_play_seconds,,team_id,match_id,score_state[leading],0.0889682751803099,0.03807792837721738,0.014335535560963841,0.16360101479965597,,1.093045979089669,,,2780,64,32,converged,executed,,
primary_pressure_events,pressure_events,poisson,pressure_events ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,effective_play_seconds,,team_id,match_id,score_state[trailing],0.02409703127842907,0.03911947350764671,-0.05257713679655849,0.10077119935341664,,1.0243897109116868,,,2780,64,32,converged,executed,,
primary_pressure_regains_5s,pressure_regains_5s,poisson,pressure_regains_5s ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,pressure_events,,team_id,match_id,score_state[leading],-0.1674069805680009,0.07736392518228785,-0.3190402739252851,-0.01577368721071673,,0.8458552946085856,,,2675,64,32,converged,executed,,
primary_pressure_regains_5s,pressure_regains_5s,poisson,pressure_regains_5s ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,pressure_events,,team_id,match_id,score_state[trailing],0.1466456193368444,0.04837667211109119,0.05182734199910566,0.24146389667458312,,1.1579435375119966,,,2675,64,32,converged,executed,,
primary_xg_per_effective_10min,xg_per_effective_10min,ols_clustered,xg_per_effective_10min ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,,team_id,match_id,score_state[leading],0.0458286951583053,0.025991371893916752,-0.005114393753771533,0.09677178407038214,,,,0.0458286951583053,2780,64,32,converged,executed,zero_heavy,
primary_xg_per_effective_10min,xg_per_effective_10min,ols_clustered,xg_per_effective_10min ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,,team_id,match_id,score_state[trailing],0.0160894284285365,0.023951653441247736,-0.03085581231630906,0.06303466917338206,,,,0.0160894284285365,2780,64,32,converged,executed,zero_heavy,
primary_xt_per_effective_10min,xt_per_effective_10min,ols_clustered,xt_per_effective_10min ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,,team_id,match_id,score_state[leading],-0.02158721293134088,0.012344559289662863,-0.045782549139080086,0.0026081232763983282,,,,-0.02158721293134088,2780,64,32,converged,executed,zero_heavy,
primary_xt_per_effective_10min,xt_per_effective_10min,ols_clustered,xt_per_effective_10min ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,,team_id,match_id,score_state[trailing],0.02916053021743066,0.016619917800302135,-0.003414508671161526,0.06173556910602285,,,,0.02916053021743066,2780,64,32,converged,executed,zero_heavy,
primary_mean_pass_length,mean_pass_length,ols_clustered,mean_pass_length ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,,team_id,match_id,score_state[leading],1.1987933480230457,0.42652651249228996,0.3628013835381574,2.034785312507934,,,,1.1987933480230457,2761,64,32,converged,executed,,
primary_mean_pass_length,mean_pass_length,ols_clustered,mean_pass_length ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,,team_id,match_id,score_state[trailing],-1.7218907058064938,0.32646877029729526,-2.3617694955891926,-1.082011916023795,,,,-1.7218907058064938,2761,64,32,converged,executed,,
primary_pass_directness,pass_directness,ols_clustered,pass_directness ~ score_state + minute + minute2 + red_card_difference + team_FE,drawing,team_window_5min,,,team_id,match_id,score_state[leading],0.046866524110174265,0.011104430786779154,0.025101839768087122,0.06863120845226141,,,,0.046866524110174265,2761,64,32,converged,executed,,
