team_id,matches,pressure_events,pressure_sequences,counterpress_events,high_pressure_events,high_regains,shots_after_pressure_regain_10s,shots_after_pressure_regain_15s,valid_pressure_360_events
768,5,485,420,134,190,30,3,6,416
770,3,384,330,90,216,30,6,7,352
771,7,905,779,157,240,30,7,13,768
772,4,445,373,138,213,39,3,3,401
773,4,444,377,109,151,12,2,3,395
776,3,337,303,65,131,26,4,4,284
777,3,361,316,72,89,19,5,7,321
778,4,692,583,87,202,23,7,8,629
779,7,980,796,214,302,49,9,15,831
780,5,530,469,133,240,40,6,10,458
781,5,605,497,143,243,39,10,14,515
782,3,309,267,62,82,10,1,2,264
783,3,374,330,68,103,15,6,9,332
785,7,949,814,203,309,41,6,6,844
786,3,360,308,69,112,18,3,3,301
787,4,512,445,83,157,31,7,10,456
788,7,1085,896,203,274,40,4,9,941
789,4,463,392,95,124,11,2,2,408
791,4,515,424,103,192,36,4,4,448
792,4,549,481,95,175,29,2,3,477
794,3,382,315,72,109,17,3,3,335
795,3,435,378,69,62,5,0,0,387
797,3,452,382,74,133,12,5,7,406
799,3,393,335,74,104,15,4,5,345
907,3,354,318,63,116,27,3,3,327
941,5,730,614,120,213,43,7,8,630
1833,3,380,329,85,153,25,4,9,328
1839,4,537,448,112,182,28,2,6,469
2722,3,403,341,92,131,19,1,2,360
3565,3,417,344,91,140,18,5,7,369
3566,3,375,321,58,90,16,2,4,341
4885,3,412,341,90,98,10,3,4,366
